year,avg_tenure_years,n_in_office
1848,15.982470643661609,77
1849,15.359091480534719,98
1850,15.629511017337627,109
1851,16.303901437371664,104
1852,16.534268335205923,106
1853,17.272952624081984,111
1854,17.59483318415557,117
1855,18.188566497038952,115
1856,18.794112387541542,111
1857,19.3646894734803,106
1858,19.851791010723247,105
1859,20.661470337621697,98
1860,19.831256562976943,161
1861,19.2139987501116,230
1862,19.049441735112936,256
1863,19.23012046030757,267
1864,19.343867262780275,282
1865,19.937387741227163,298
1866,20.1053575583431,303
1867,20.525501977591887,298
1868,21.401183239473845,303
1869,21.890420781591214,294
1870,21.57268233325728,315
1871,21.769348515960424,330
1872,21.87045879432407,335
1873,21.964759256903687,339
1874,22.18546691593368,335
1875,22.54418386829497,323
1876,21.660411487008407,389
1877,21.982050240293987,374
1878,22.43028341396072,354
1879,22.01734473603057,364
1880,21.877282701642894,369
1881,21.80368609075296,383
1882,21.891324753039683,377
1883,21.90820125772314,373
1884,21.650232432124113,384
1885,22.16700889801506,360
1886,22.271879027279663,367
1887,23.043312162742946,344
1888,23.62155320381193,325
1889,22.888115484711733,354
1890,21.13808305030314,422
1891,20.98555075644929,435
1892,19.883613517860027,492
1893,20.431000431181346,454
1894,20.863881899657127,426
1895,21.23370409811424,403
1896,21.061439620139733,414
1897,21.57477440576601,381
1898,21.485095602549396,385
1899,21.82279681399822,358
1900,21.667279269762734,381
1901,21.10202405397477,385
1902,21.263297343843146,372
1903,21.998528798571282,348
1904,21.367051724731283,358
1905,20.65596060339387,385
1906,20.73755351378926,373
1907,21.014903243647147,349
1908,20.81031206145634,358
1909,20.118481381725733,385
1910,19.797323372509364,398
1911,19.760677184865575,395
1912,19.608563774898634,394
1913,19.562379720260402,446
1914,19.69495932270349,447
1915,19.93061709715768,418
1916,20.375906223438278,397
1917,20.532494472657376,391
1918,21.054489014855733,355
1919,20.776613725572364,392
1920,20.39388630383864,436
1921,20.59351451463542,425
1922,20.613953214190975,418
1923,20.548277327416464,422
1924,20.11109781064017,446
1925,20.49068008928905,421
1926,20.887808460786495,397
1927,21.056708190736938,375
1928,20.94246322759083,392
1929,20.792809289729206,462
1930,21.057662871009892,440
1931,21.480751533491183,418
1932,22.188629451653647,388
1933,21.9927752949229,425
1934,21.089020754301096,472
1935,21.354733894072123,447
1936,21.6620457247281,418
1937,22.09620253164557,395
1938,22.4577865071571,368
1939,19.251323602863646,555
1940,19.46963474581544,528
1941,20.08633948516743,493
1942,20.59105124029361,464
1943,20.52713218849318,471
1944,21.123115372780994,436
1945,21.90840551069666,399
1946,22.49841260911554,365
