year,avg_seniority_years,n_in_office
1848,0.7182058188218351,77
1849,1.3529173476372067,98
1850,2.182895967949564,109
1851,3.1700626546622437,104
1852,4.027869254710524,106
1853,4.602697153005162,111
1854,5.120108578014124,117
1855,5.928827783233642,115
1856,6.88298154417251,111
1857,7.724019474900882,106
1858,8.50027052573254,105
1859,9.452597466091161,98
1860,6.3153374911253675,161
1861,5.060083921078476,230
1862,5.237166324435318,256
1863,5.81475414458826,267
1864,6.056320114950898,282
1865,6.476340099867242,298
1866,7.143883998256088,303
1867,7.997813394337794,298
1868,8.315548597980948,303
1869,9.053355496887326,294
1870,8.698595221798508,315
1871,8.894099101901977,330
1872,9.267044653529068,335
1873,9.570839870053042,339
1874,9.981656399726216,335
1875,10.844669349421386,323
1876,9.500138124220301,389
1877,10.096593425497883,374
1878,10.643054637138096,354
1879,10.502907086069301,364
1880,10.502551432085163,369
1881,10.574466145903143,383
1882,10.788490133388526,377
1883,11.09721388817017,373
1884,11.378964179785534,384
1885,12.128929956650694,360
1886,11.807089690723572,367
1887,12.815784028142557,344
1888,13.764447954509558,325
1889,12.75052688159569,354
1890,11.012933425460064,422
1891,11.130458590006844,435
1892,9.848132752374752,492
1893,10.516024568290984,454
1894,11.080981898693096,426
1895,11.861803075156722,403
1896,11.498788137302558,414
1897,12.135714041904926,381
1898,11.632672871276569,385
1899,12.173937648889755,358
1900,11.452896929978209,381
1901,11.024685102713851,385
1902,11.459156712518306,372
1903,12.420039808979835,348
1904,11.988039109969067,358
1905,10.952057388197018,385
1906,11.229687697838163,373
1907,11.781905473544242,349
1908,11.453309319781736,358
1909,10.734906708623342,385
1910,10.352659945862095,398
1911,10.489059860161673,395
1912,10.513666670141095,394
1913,9.807165679874036,446
1914,9.538555768397423,447
1915,10.017258939770556,418
1916,10.795269793816388,397
1917,11.260360156918761,391
1918,11.684221688791201,355
1919,10.325867102487813,392
1920,9.341540606220448,436
1921,9.61343801586343,425
1922,9.795781220832556,418
1923,9.864839702729094,422
1924,9.582440922888983,446
1925,10.219681635426879,421
1926,10.822075904671758,397
1927,11.348216290212182,375
1928,10.806429758761821,392
1929,9.461158964239045,462
1930,10.13414846618132,440
1931,10.963808625539958,418
1932,11.821969135671797,388
1933,10.938622216853888,425
1934,9.762804672908036,472
1935,10.364614962936422,447
1936,10.877454977746774,418
1937,11.659744062935912,395
1938,12.210189566407765,368
1939,8.31895715016865,555
1940,8.957718872503266,528
1941,9.789732504203265,493
1942,10.615113644409826,464
1943,10.714448266391138,471
1944,11.488511701800327,436
1945,12.335390152314393,399
1946,12.979610512596928,365
